acc
0.7123745819397993,4,pre
0.7123745819397993,9,pre
0.7157190635451505,14,pre
0.7123745819397993,19,pre
0.7123745819397993,24,pre
0.7324414715719063,29,pre
0.782608695652174,34,pre
0.7959866220735786,39,pre
0.8729096989966555,44,pre
0.9130434782608695,49,pre
0.9130434782608695,54,pre
0.9732441471571907,59,pre
0.9765886287625418,64,pre
0.9899665551839465,69,pre
0.9632107023411371,74,pre
0.9866220735785953,79,pre
0.9899665551839465,84,pre
0.9933110367892977,89,pre
1.0,94,pre
1.0,99,pre
1.0,104,pre
1.0,109,pre
1.0,114,pre
1.0,119,pre
1.0,124,pre
1.0,129,pre
1.0,134,pre
1.0,139,pre
1.0,144,pre
1.0,149,pre
1.0,154,pre
1.0,159,pre
1.0,164,pre
1.0,169,pre
1.0,174,pre
1.0,179,pre
1.0,184,pre
1.0,189,pre
0.9966555183946488,194,pre
1.0,199,pre
1.0,204,pre
1.0,209,pre
1.0,214,pre
1.0,219,pre
1.0,224,pre
1.0,229,pre
1.0,234,pre
1.0,239,pre
1.0,244,pre
1.0,249,pre
1.0,254,pre
0.9966555183946488,259,pre
0.9966555183946488,264,pre
0.9665551839464883,269,pre
0.9063545150501672,274,pre
0.9933110367892977,279,pre
0.9364548494983278,284,pre
0.9966555183946488,289,pre
0.9832775919732442,294,pre
0.9966555183946488,299,pre
0.9933110367892977,304,pre
0.9966555183946488,309,pre
1.0,314,pre
1.0,319,pre
1.0,324,pre
1.0,329,pre
1.0,334,pre
1.0,339,pre
1.0,344,pre
1.0,349,pre
1.0,354,pre
0.9966555183946488,359,pre
0.9632107023411371,364,pre
0.9899665551839465,369,pre
0.9966555183946488,374,pre
1.0,379,pre
1.0,384,pre
1.0,389,pre
1.0,394,pre
1.0,399,pre
1.0,404,pre
1.0,409,pre
1.0,414,pre
1.0,419,pre
1.0,424,pre
1.0,429,pre
1.0,434,pre
1.0,439,pre
1.0,444,pre
1.0,449,pre
1.0,454,pre
1.0,459,pre
1.0,464,pre
1.0,469,pre
1.0,474,pre
1.0,479,pre
1.0,484,pre
1.0,489,pre
1.0,494,pre
1.0,499,pre
